recipe,user,rating,comment
Cá Bống Trứng Kho Tiêu,"{'username': 'dangthu222', 'email': 'dangthu222@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Ăn kèm với rau sống hoặc các loại dưa chua là hết bay nồi cơm luôn đó.
Bún Thang,"{'username': 'dangthu222', 'email': 'dangthu222@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Bún này có ăn kèm với rau gì không ạ?
Sườn Bò Hầm Đậu Phộng,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Món siêu ngon, bé nhà mình rất thích ạ."
Bò Áp Chảo,"{'username': 'phaminhu', 'email': 'phaminhu@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Thịt bò để nguyên khối vậy áp chảo thì làm thế nào để biết bò chín bên trong ạ.
Cuốn Chay Đậu Hũ Rau Rừng,"{'username': 'vutran1087', 'email': 'vutran1087@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Chỉ có rau và đậu hũ thôi nhưng ăn rất ngon, không bị ngán."
Cuốn Chay Đậu Hũ Rau Rừng,"{'username': 'ngxz.sfwg', 'email': 'ngxz.sfwg@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Món này ngon là phải nhờ nước chấm!
Đùi Gà Xốt Kiểu Teriyaki,"{'username': 'vexbixy', 'email': 'vexbixy@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Tự nhiên sau những ngày tết nhìn mấy món thịt sợ quá, chương ra công thức những món chay đi ạ."
Canh Gà Tứ Quý,"{'username': 'vexbixy', 'email': 'vexbixy@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Những ngày tết mình đã nấu rất nhiều món khác nhau, canh gà tứ quý là một trong số mình nấu ngon nhất. Cám ơn CT"
Cá Lòng Tong Rim Nước Mắm,"{'username': 'thanhgianghoang_', 'email': 'thanhgianghoang_@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Ui ngon ạ
Gà Hấp Hành Răm,"{'username': 'pomersum', 'email': 'pomersum@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Hấp vừa hành vừa lá răm ngon lắm thơm ơi là thơm.
Gà Hấp Hành Răm,"{'username': 'justfinn1106', 'email': 'justfinn1106@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Cam ơn món ngon mỗi ngày đã hướng dẫn rất nhiều món ngon.
Gà Hấp Hành Răm,"{'username': 'ohoho0_0', 'email': 'ohoho0_0@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Thinh thoang nha minh cung hap ga voi rau ram, thom lam luon do."
Bún Trộn Ngũ Sắc,"{'username': 'anna_hoanggggg', 'email': 'anna_hoanggggg@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Mình không thích ăn bún mình thay bằng miến cũng ngon lắm.
Bún Trộn Ngũ Sắc,"{'username': 'ohoho0_0', 'email': 'ohoho0_0@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Món bún rất ngon!
Ốc Xào Khế,"{'username': 'ngxz.sfwg', 'email': 'ngxz.sfwg@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Mình ăn kèm bánh đa, ăn cũng được."
Ốc Xào Khế,"{'username': 'anna_hoanggggg', 'email': 'anna_hoanggggg@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Nhìn đĩa ốc này lại nhớ tới bún ốc. Mong chương trình sẽ ra thử công thức bún ốc nhé ạ.
Ốc Xào Khế,"{'username': 'dangthu222', 'email': 'dangthu222@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Mon nay rat ngon cam on chuong trinh co the chi cho mon oc nhoi thit ko cam on rat nhieu
Ốc Xào Khế,"{'username': 'lyhieudu', 'email': 'lyhieudu@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"trang web này tuyệt vời thật,nhiều món ăn ngon,thiết kế trag web rất đẹp.Xin cảm ơn!"
Ốc Xào Khế,"{'username': 'thanhgianghoang_', 'email': 'thanhgianghoang_@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Tu hom nay phai thuong xuyen ghe vao day de do.dau dau moi khi di cho
Cupcake Trứng Muối Chà Bông Phô Mai,"{'username': 'tiao__vie', 'email': 'tiao__vie@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Sao mình thấy các loại bánh của chương trình đều dùng bột bánh rán pha sẵn vậy ạ, bột đó có giống với bột mì không."
Lươn Nướng Lá Chanh,"{'username': 'haffxuf', 'email': 'haffxuf@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Món này chắc mấy ông nhậu chắc thích lắm.
Bông Cải Xào Nước Tương,"{'username': 'ngxz.sfwg', 'email': 'ngxz.sfwg@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Những ngày tết ăn nhiều thịt ngán quá rồi, đổi một bữa rau xào ăn ngon tuyệt."
Ba Chỉ Chiên Riềng Mẻ,"{'username': 'justfinn1106', 'email': 'justfinn1106@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Làm ăn thì ngon mà mập lắm chương trình ơi huhu.
Trà Sữa Blendy Trái Cây,"{'username': 'nghihechua.hen', 'email': 'nghihechua.hen@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Rất ngon luôn
Trà Sữa Blendy Trái Cây,"{'username': 'haffxuf', 'email': 'haffxuf@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Trà sữa gói pha sẵn hơi bị ngọt quá mình không thích cho lắm, mà trà sữa sao lại cho trái cây vậy ạ không hợp tí nào."
Gà Nướng Xiên,"{'username': 'vit4mean', 'email': 'vit4mean@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Làm xiên bằng gà nướng cũng ngon phết.
Salad Bơ Cải Kale Ức Gà,"{'username': 'tiao__vie', 'email': 'tiao__vie@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Ngày nào mà cũng ăn theo thực đơn của chương trình chắc lên mấy chục ký luôn quá.?
Mì Udon Xào Bò,"{'username': 'ienb_', 'email': 'ienb_@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Lâu lâu làm ăn sang một bữa ngon quá.
Rau Củ Luộc Và Cơm Chiên Giòn Chấm Kho Quẹt,"{'username': 'ienb_', 'email': 'ienb_@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Mong các đầu bếp hướng dẫn làm từ nguyên liệu, chứ ăn gói kho quẹt pha sẵn không ngon bằng với nhiều chỗ làm gì có bán."
Cơm Gạo Lứt Trộn,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Hấp dẫn quá, có thể làm thành món ăn kiêng."
Súp Gấc Nấm Mỡ,"{'username': 'vit4mean', 'email': 'vit4mean@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Mình là người không thích súp nhưng mà ăn món này cũng ok phết.
Súp Gấc Nấm Mỡ,"{'username': 'vvkhverse', 'email': 'vvkhverse@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Món ăn hấp dẫn, mình sẽ thử"
Pizza Khoai Tây,"{'username': 'embelem._', 'email': 'embelem._@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Wow còn có thể làm pizza theo cách này nữa ư nhìn ngon tuyệt.
Pancake Chocolate Trái Cây Nhiệt Đới,"{'username': 'vexbixy', 'email': 'vexbixy@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Món này mình dùng tráng miệng cho đám tiệc cũng ok đó chứ.
Lẩu Thái Và Hoa,"{'username': 'justfinn1106', 'email': 'justfinn1106@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Ngon, hợp khẩu vị có thể nấu trong mọi bữa tiệc."
Lẩu Thái Và Hoa,"{'username': 'vutran1087', 'email': 'vutran1087@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Bây giờ nấu lẩu thật đơn giản vì có gia vị nêm sẵn hết rồi, ai không biết nấu thì cũng sẽ nấu được luôn. Cảm ơn chương trình"
Cơm Chiên Kim Chi,"{'username': 'uyntr_', 'email': 'uyntr_@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Mình rất thích ăn đồ hàn quốc nhất là cơm trộn kim chi ngon lắm, bữa nào có dịp mình sẽ thử món cơm chiên kim chi này."
Gỏi Cá Kiểu Nhật,"{'username': 'hoai.hip0310', 'email': 'hoai.hip0310@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Tiếc quá món nhìn hấp dẫn mà không hợp khẩu vị của mình.
Chả Bắp,"{'username': 'ohoho0_0', 'email': 'ohoho0_0@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Ngon quá, chắc mình phải làm ngay thôi, chả này mình có thể bỏ vô chiên sơ qua nữa được không ạ"
Chả Bắp,"{'username': '_.hien.luong._', 'email': '_.hien.luong._@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Ngon quá, chắc mình phải làm ngay thôi, chả này mình có thể bỏ vô chiên sơ qua nữa được không ạ"
Chả Bắp,"{'username': 'vvkhverse', 'email': 'vvkhverse@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Ngon lắm hạt bắt ngọt ngọt cắn vào sựt sựt và rất thơm.
Pancake Chocolate Mứt Cam,"{'username': 'lyhieudu', 'email': 'lyhieudu@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Miếng cam nhìn ngon quá, như mình sẽ ăn riêng ra chắc là ngon hơn."
Lẩu Bò Hoa,"{'username': 'pomersum', 'email': 'pomersum@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Chương trình có công thức nấu ăn nhanh không ạ, chứ không muốn ăn cầu kì nữa rồi."
Hoành Thánh Cay,"{'username': 'vvkhverse', 'email': 'vvkhverse@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Cay thật mà ngon lắm ạ.
Hoành Thánh Cay,"{'username': 'vvkhverse', 'email': 'vvkhverse@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Nếu vỏ hoàn thánh dày thì luộc 5p có chín không ạ.
Gà Xốt Cam,"{'username': 'nghihechua.hen', 'email': 'nghihechua.hen@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Gà ngon lắm, rất thơm luôn và nhân tiện mình cũng muốn biết thêm món gà sốt HQ nữa ạ, mong chương trình hưỡng dẫn."
Gà Xào Chẩm Chéo,"{'username': 'trangchip19', 'email': 'trangchip19@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Mình chưa xào gà theo kiểu này, nhìn cũng ngon, nhưng nguyên liệu mỗi thứ ít thật khó mua."
Cải Ngồng Trộn Gà Xé,"{'username': 'ngxz.sfwg', 'email': 'ngxz.sfwg@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Món này khá dễ ăn, không bị ngán nhà mình trộn bằng nước mắn tỏi ớt cũng ngon lắm ạ."
Cải Ngồng Trộn Gà Xé,"{'username': 'dangthu222', 'email': 'dangthu222@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Trang trí bằng hoa cải nhìn đĩa trộn đẹp hơn hẳn luôn.
Ba Rọi Nướng Mè Rau Củ,"{'username': 'vexbixy', 'email': 'vexbixy@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Món này ngon lắm nha, mn nhất định phải làm thử nhé!"
Ba Rọi Nướng Mè Rau Củ,"{'username': 'vexbixy', 'email': 'vexbixy@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Trời ơi món này để đi cắm trại ngoài trời thì hết sảy.
Gỏi Gà Hoa Súng,"{'username': 'nghihechua.hen', 'email': 'nghihechua.hen@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Ngon lắm nha, gà ta dai dai cọng hoa súng giòn giòn một sự kết hợp quá hoàn hảo."
Miến Tôm Phỉ Thuý,"{'username': 'nn2502_', 'email': 'nn2502_@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Món này chưa lên video hả chương trình, nhưng đọc sơ qua cách chế biến có vẻ không hợp lắm."
Miến Tôm Phỉ Thuý,"{'username': 'cabuonnguu', 'email': 'cabuonnguu@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Hấp như vậy còn ngon không ạ, mình nghĩ sẽ ngon hơn với xào miến rồi hấp tôm bỏ vô sau thì miến sẽ dai hơn là hấp ạ"
Mì Nưa Xào Tôm Nấm,"{'username': 'thanhgianghoang_', 'email': 'thanhgianghoang_@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Cải thiện món ăn bằng một món mì cũng khá ngon, mì nưa cũng là mì ăn kiêng khá phù hợp cho người giảm cân thay đổi khẩu vị."
Chả Cá Thu Chiên Lá Lốt,"{'username': 'embelem._', 'email': 'embelem._@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Mình chưa ăn bao giờ, thấy lạ quá."
Canh Cá Minh Thái,"{'username': 'anna_hoanggggg', 'email': 'anna_hoanggggg@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Canh cá minh thái nghe lạ quá mình tưởng cũng giống canh chua cá mà đọc nguyên liệu thì không giống ạ.
Canh Cá Minh Thái,"{'username': 'vit4mean', 'email': 'vit4mean@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Nghe tên cá lạ quá, mình chưa từng nghe qua, cá còn có tên gọi nào khác không ạ."
Canh Cá Minh Thái,"{'username': '_natagata_', 'email': '_natagata_@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Món này quá ngon
Mực Chiên Giòn Sốt Tắc,"{'username': 'lyhieudu', 'email': 'lyhieudu@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Trời ơi ngon lắm luôn. Công thức chương trình tuyệt vời
Mực Chiên Giòn Sốt Tắc,"{'username': 'hoai.hip0310', 'email': 'hoai.hip0310@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Chắc bữa nào mình sẽ làm theo kiểu này để đổi vị thôi.
Mực Chiên Giòn Sốt Tắc,"{'username': 'vit4mean', 'email': 'vit4mean@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Nhin ngon lam luon do, nhung ma cho vo tac vao uop voi muc khong biet co lam mon an bi dang khong?"
Mực Chiên Giòn Sốt Tắc,"{'username': 'duc.anh.pham', 'email': 'duc.anh.pham@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Vẫn hay làm mực chiên bột cho gia đình ăn , hôm nay vào món ngon mỗi ngày mới biết món mực chiên giòn sốt tắc này . Sẽ làm thử cho gia đình ăn vào dịp cuối tuần này xem có ngon hay không ."
Bún Riêu Cua,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Bây giờ nấu bún phở tiện thật, chỉ cần mua gói gia vị nêm sẵn là có mùi vị y chang luôn."
Bún Riêu Cua,"{'username': 'justfinn1106', 'email': 'justfinn1106@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Mình rất thích mấy gói Aji-Quick bún riêu rồi phở bò rất tiện lợi mà hương vị không thua gì ngoài quán cả.
Cá He Kho Rệu,"{'username': 'trangchip19', 'email': 'trangchip19@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Nghe tên cá lạ quá không biết ngoài chợ có không nữa.
Blendy Kem Nho,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,khá ngon khá hấp dẫn
Blendy Kem Nho,"{'username': 'duc.anh.pham', 'email': 'duc.anh.pham@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Trà sữa gói này uống cũng được đó chứ, lại nhanh còn tiện mang đi chơi cũng được ."
Pad Thái Chay,"{'username': 'ngxz.sfwg', 'email': 'ngxz.sfwg@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Pad Thái chay nhìn ngon hơn món mặn luôn nha.
Pad Thái Chay,"{'username': 'phaminhu', 'email': 'phaminhu@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Pad Thái nghe là thấy lạ rồi , sẽ vào bếp làm thử xem món lạ này có ngon không ."
Lẩu Thái Đầu Cá Lóc Bông,"{'username': 'qh.haoo', 'email': 'qh.haoo@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Trời đang mưa mà có nồi lẩu thì ấm lòng biết bao.
Chả Lá Xương Sông,"{'username': 'vit4mean', 'email': 'vit4mean@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Giống lá lốt quá à, lá xương sông có phải lá lốt không chương trình."
Thịt Bê Om Giấm Nghệ,"{'username': '_.hien.luong._', 'email': '_.hien.luong._@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Tưởng không ngon mà ngon lắm nha.
Thịt Bê Om Giấm Nghệ,"{'username': 'lyhieudu', 'email': 'lyhieudu@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Thịt bê à nghe có vẻ thơm ngon thế!
Cá Ngừ Cuộn Phô Mai,"{'username': 'ienb_', 'email': 'ienb_@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Vừa cá vừa thịt thêm phô mai nữa chưa biết là có ngon không nhưng chắc sẽ mập lắm.
Cá Ngừ Cuộn Phô Mai,"{'username': 'dangthu222', 'email': 'dangthu222@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Món này mà làm ăn chắc béo lắm luôn, với mình nghĩ món ăn này sẽ làm mình dễ ngán vì có phô mai cộng thêm chiên nữa"
Salad Mực Măng Tây,"{'username': 'ohoho0_0', 'email': 'ohoho0_0@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Măng tây xào mực ngon lắm, cọng măng giòn ngọt, hương vị tuyệt vời."
Salad Mực Măng Tây,"{'username': 'jia_smiles', 'email': 'jia_smiles@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Măng tây là món ruột của mình luôn á, xào ăn không cũng ngon nữa."
Salad Mực Măng Tây,"{'username': 'tiao__vie', 'email': 'tiao__vie@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Nhà mình đang có sẵn măng tây, nhân tiện cuối tuần mình sẽ làm thử."
Ngưu Bàng Chiên Tôm,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Ở dưới quê mình không có ngưu bàng thì sao ạ, khó tìm nguyên liệu quá."
Canh Sườn Non Xuyên Tiêu,"{'username': 'embelem._', 'email': 'embelem._@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Mình nấu còn bị thiếu mấy nguyên liệu nữa mà vẫn ngon nhé ạ.
Bánh Đồng Xu Phô Mai,"{'username': '_.hien.luong._', 'email': '_.hien.luong._@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Nhìn thèm quá chắc mai cuối tuần mình sẽ làm thử.
Bánh Đồng Xu Phô Mai,"{'username': '678chinn', 'email': '678chinn@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Chương trình ra món đúng lúc ghê món này đang hot quá trời.
Viên Thanh Cua Phô Mai,"{'username': 'jia_smiles', 'email': 'jia_smiles@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Có phô mai kéo sợi nhìn ngon quá, mình rất thích phô mai luôn."
Viên Thanh Cua Phô Mai,"{'username': 'vutran1087', 'email': 'vutran1087@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Trời ơi sao lại có món nhìn ngon như vầy chứ trời.
Matcha Cà Phê,"{'username': 'hoai.hip0310', 'email': 'hoai.hip0310@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"Ngon lắm lạ miệng, còn công thức cà phê nào khác nữa không ạ."
Matcha Cà Phê,"{'username': 'cabuonnguu', 'email': 'cabuonnguu@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Mình rất thích món cà phê matcha này uống lạ miệng dành cho người không thích nhiều vị cà phê.
Matcha Cà Phê,"{'username': 'phaminhu', 'email': 'phaminhu@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Nước nhìn ngon thế, công thức nước này không có video hả chương trình."
Tôm Né Bơ Tỏi,"{'username': 'thao_pg21', 'email': 'thao_pg21@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Thơm béo ngậy, ngon lắm ai cũng khen ngon."
Tôm Né Bơ Tỏi,"{'username': 'justfinn1106', 'email': 'justfinn1106@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,món này tạm được
Canh Tôm Khoai Mài,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Nhìn món canh ngán quá, chắc không hợp với bữa cơm gia đình đâu."
Tôm Càng Hấp Xốt Mayonnaise Xoài,"{'username': 'ohoho0_0', 'email': 'ohoho0_0@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Mình tưởng tượng được mùi vị món này, vừa có xoài mà có thêm đậu phộng rồi cả sữa tươi nữa, không biết có bị đau bụng không."
Chôm Chôm Nhồi Tôm Chiên,"{'username': 'ienb_', 'email': 'ienb_@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Nhìn hấp dẫn quá ha, mỗi tội chôm chôm hơi khó moi hột, hy vong mình sẽ thành công!"
Chôm Chôm Nhồi Tôm Chiên,"{'username': 'ienb_', 'email': 'ienb_@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,"Trời ơi cái món gì vừa lạ vừa khó, đâu phải ai cũng khéo như đầu bếp. Thôi mình cứ bóc chôm chôm ăn luôn cho nhanh."
Thăn Heo Cuộn Cải Hấp,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,Mình từng ăn món này 1 lần rồi ngon lắm nhưng bảo mình làm chắc mình không làm được đâu.
Thăn Heo Cuộn Cải Hấp,"{'username': 'anna_hoanggggg', 'email': 'anna_hoanggggg@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Nhìn món ăn ngon và cầu kì quá!
Thăn Heo Cuộn Cải Hấp,"{'username': 'vutran1087', 'email': 'vutran1087@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Mon nay rat de lam
Cá Thu Sốt Xoài,"{'username': '_.hien.luong._', 'email': '_.hien.luong._@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Ngon nha thơm nhưng mà không ăn được nhiều.
Cá Thu Sốt Xoài,"{'username': '_vanhnk', 'email': '_vanhnk@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,"Mình không thích hương vị của món cá xốt xoài này, xoài cứ bị choét ra hết thật sự không ngon"
Má Heo Nướng Táo,"{'username': 'vvkhverse', 'email': 'vvkhverse@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,Nghe nói má heo nướng ăn ngon lắm thêm mấy lon bia nữa chắc là tuyệt vời!
Má Heo Nướng Táo,"{'username': 'lyhieudu', 'email': 'lyhieudu@example.com', 'password': 'abc123', 'is_admin': 'False'}",3,"Món nướng thì là ngon nhất rồi, món gì nướng cũng bắt mồi nhậu cả"
Súp Nấm Ngưu Bàng,"{'username': 'jia_smiles', 'email': 'jia_smiles@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Món ngon quá
Nấm Nướng Giấy Bạc,"{'username': 'jia_smiles', 'email': 'jia_smiles@example.com', 'password': 'abc123', 'is_admin': 'False'}",2,Mình rất thích ăn nấm thấy món nào càng nhiều nấm là mê luôn thôi.
Nấm Nướng Giấy Bạc,"{'username': 'ngxz.sfwg', 'email': 'ngxz.sfwg@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,Các loại nấm vừa ngon vừa ngọt lại còn dễ ăn dễ chế biến.
Nấm Nướng Giấy Bạc,"{'username': 'uyntr_', 'email': 'uyntr_@example.com', 'password': 'abc123', 'is_admin': 'False'}",4,Nguyên liệu là nấm không thôi hả sao không cho thêm đậu hũ vô ạ
Mì Bò Cay Xuyên Tiêu,"{'username': 'lyhieudu', 'email': 'lyhieudu@example.com', 'password': 'abc123', 'is_admin': 'False'}",1,"Món mì này chính gốc là ở đâu vậy ạ, mà hương vị ngon quá."
Mì Bò Cay Xuyên Tiêu,"{'username': '_natagata_', 'email': '_natagata_@example.com', 'password': 'abc123', 'is_admin': 'False'}",5,"wow mình có một niềm đam mê rất lớn đối với mì, thật hấp dẫn khó mà cưỡng lại❤️"
